userId,Sport favoris,Longitude,Latitude,matchId,sport,team_1,team_2,pari,timestamp
1,Handball,-2.79009588918,47.7597989098,349,Hockey,13.0,9.0,13.0,964982563
1,Handball,-2.79009588918,47.7597989098,423,Boxe,19.0,18.0,18.0,964982363
1,Handball,-2.79009588918,47.7597989098,457,Badminton,2.0,16.0,2.0,964981909
1,Handball,-2.79009588918,47.7597989098,527,Tennis,16.0,9.0,16.0,964984002
1,Handball,-2.79009588918,47.7597989098,954,Rubgy,7.0,11.0,11.0,964983219
1,Handball,-2.79009588918,47.7597989098,1090,Tennis,11.0,6.0,6.0,964984018
1,Handball,-2.79009588918,47.7597989098,1258,Water Polo,10.0,5.0,5.0,964983414
1,Handball,-2.79009588918,47.7597989098,1573,Hockey,3.0,5.0,3.0,964982290
1,Handball,-2.79009588918,47.7597989098,1732,Handball,15.0,8.0,15.0,964981125
1,Handball,-2.79009588918,47.7597989098,1954,Rubgy,17.0,5.0,17.0,964982176
1,Handball,-2.79009588918,47.7597989098,2353,Boxe,6.0,13.0,13.0,964983861
1,Handball,-2.79009588918,47.7597989098,2387,Handball,12.0,16.0,16.0,964983123
1,Handball,-2.79009588918,47.7597989098,2459,Water Polo,2.0,12.0,2.0,964983414
1,Handball,-2.79009588918,47.7597989098,2502,Handball,4.0,15.0,4.0,964981278
1,Handball,-2.79009588918,47.7597989098,2580,Handball,14.0,5.0,5.0,964983000
1,Handball,-2.79009588918,47.7597989098,2644,Water Polo,17.0,1.0,17.0,964983393
1,Handball,-2.79009588918,47.7597989098,2959,Hockey,9.0,5.0,9.0,964983282
1,Handball,-2.79009588918,47.7597989098,3053,Tennis,17.0,6.0,17.0,964984086
1,Handball,-2.79009588918,47.7597989098,3247,Handball,18.0,14.0,18.0,964983108
1,Handball,-2.79009588918,47.7597989098,3729,Hockey,1.0,13.0,13.0,964982363
5,Rubgy,6.4073512379299995,49.223910203500004,349,Hockey,13.0,9.0,13.0,847434832
5,Rubgy,6.4073512379299995,49.223910203500004,457,Badminton,2.0,16.0,16.0,847434801
5,Rubgy,6.4073512379299995,49.223910203500004,527,Tennis,16.0,9.0,9.0,847434960
5,Rubgy,6.4073512379299995,49.223910203500004,58,Football,17.0,8.0,8.0,847435238
5,Rubgy,6.4073512379299995,49.223910203500004,232,Football,9.0,10.0,9.0,847435292
5,Rubgy,6.4073512379299995,49.223910203500004,475,Rubgy,7.0,15.0,7.0,847435311
5,Rubgy,6.4073512379299995,49.223910203500004,261,Rubgy,12.0,19.0,12.0,847435238
5,Rubgy,6.4073512379299995,49.223910203500004,300,Rubgy,17.0,19.0,17.0,847435337
5,Rubgy,6.4073512379299995,49.223910203500004,474,Boxe,13.0,8.0,8.0,847435337
6,Rubgy,-0.7155607924390001,49.1192443801,349,Hockey,13.0,9.0,9.0,845553146
6,Rubgy,-0.7155607924390001,49.1192443801,457,Badminton,2.0,16.0,2.0,845553174
6,Rubgy,-0.7155607924390001,49.1192443801,527,Tennis,16.0,9.0,16.0,845553426
6,Rubgy,-0.7155607924390001,49.1192443801,31,Rubgy,16.0,9.0,9.0,845553819
6,Rubgy,-0.7155607924390001,49.1192443801,351,Football,15.0,7.0,7.0,845554455
6,Rubgy,-0.7155607924390001,49.1192443801,475,Rubgy,7.0,15.0,15.0,845554099
6,Rubgy,-0.7155607924390001,49.1192443801,539,Football,7.0,12.0,12.0,845553426
6,Rubgy,-0.7155607924390001,49.1192443801,261,Rubgy,12.0,19.0,12.0,845553695
6,Rubgy,-0.7155607924390001,49.1192443801,474,Boxe,13.0,8.0,8.0,845553522
6,Rubgy,-0.7155607924390001,49.1192443801,4,Football,5.0,8.0,8.0,845554349
6,Rubgy,-0.7155607924390001,49.1192443801,11,Football,8.0,1.0,1.0,845553489
6,Rubgy,-0.7155607924390001,49.1192443801,26,Rubgy,18.0,3.0,18.0,845555362
6,Rubgy,-0.7155607924390001,49.1192443801,41,Tennis,15.0,8.0,15.0,845554962
6,Rubgy,-0.7155607924390001,49.1192443801,43,Rubgy,11.0,2.0,2.0,845555607
6,Rubgy,-0.7155607924390001,49.1192443801,61,Volleyball,13.0,4.0,4.0,845555454
6,Rubgy,-0.7155607924390001,49.1192443801,62,Rubgy,19.0,13.0,13.0,845553660
6,Rubgy,-0.7155607924390001,49.1192443801,79,Volleyball,5.0,9.0,9.0,845554907
6,Rubgy,-0.7155607924390001,49.1192443801,89,Boxe,11.0,3.0,11.0,845555124
6,Rubgy,-0.7155607924390001,49.1192443801,100,Volleyball,9.0,1.0,1.0,845555151
6,Rubgy,-0.7155607924390001,49.1192443801,177,Water Polo,10.0,17.0,10.0,845554931
6,Rubgy,-0.7155607924390001,49.1192443801,195,Football,19.0,6.0,6.0,845554455
6,Rubgy,-0.7155607924390001,49.1192443801,204,Basketball,3.0,13.0,3.0,845553619
