userId,matchId,pari,timestamp
1,349,13.0,964982563
1,423,18.0,964982363
1,457,2.0,964981909
1,527,16.0,964984002
1,954,11.0,964983219
1,1090,6.0,964984018
1,1258,5.0,964983414
1,1573,3.0,964982290
1,1732,15.0,964981125
1,1954,17.0,964982176
1,2353,13.0,964983861
1,2387,16.0,964983123
1,2459,2.0,964983414
1,2502,4.0,964981278
1,2580,5.0,964983000
1,2644,17.0,964983393
1,2959,9.0,964983282
1,3053,17.0,964984086
1,3247,18.0,964983108
1,3729,13.0,964982363
2,8798,11.0,1445714960
2,80906,12.0,1445715172
2,89774,5.0,1445715189
2,91658,15.0,1445714938
2,112552,7.0,1445714882
2,131724,7.0,1445714851
3,31,16.0,1306463578
3,527,9.0,1306464275
3,1124,14.0,1306464216
3,1263,11.0,1306463569
3,1272,11.0,1306463624
3,3210,13.0,1306463638
3,3949,14.0,1306464245
3,6238,5.0,1306464204
3,7899,14.0,1306464036
4,52,14.0,964622786
4,58,8.0,964538444
4,162,15.0,945078571
4,190,12.0,945079259
4,232,9.0,964622684
4,351,15.0,986934901
4,457,2.0,945079259
4,475,7.0,945174290
4,538,17.0,945078636
4,539,7.0,964538832
4,759,13.0,945078601
4,892,16.0,964622714
4,898,1.0,964623347
4,910,10.0,945173989
4,1079,14.0,945078946
4,1103,17.0,964539723
4,1225,9.0,964539326
4,1719,3.0,945079956
4,1732,8.0,945079889
4,1883,11.0,964622642
4,1885,3.0,964622617
4,1892,1.0,964539431
4,1895,1.0,945629179
4,2145,10.0,986935328
4,2336,9.0,964538964
4,2351,9.0,945078467
4,2959,9.0,945078528
4,3079,6.0,964778197
4,3083,19.0,964622487
4,3160,15.0,964539121
4,3408,16.0,986849238
4,3481,12.0,964538243
4,3967,5.0,986849164
4,4021,14.0,986849180
4,4074,3.0,986848665
4,4246,5.0,1007574542
4,4252,7.0,1007569465
4,4260,11.0,1007569424
4,4273,7.0,1007574470
4,4741,15.0,1007574532
4,4765,3.0,1007569445
4,4967,5.0,1007569424
5,58,8.0,847435238
5,232,9.0,847435292
5,261,12.0,847435238
5,300,17.0,847435337
5,349,13.0,847434832
5,457,16.0,847434801
5,474,8.0,847435337
5,475,7.0,847435311
5,527,9.0,847434960
6,4,8.0,845554349
6,11,1.0,845553489
6,26,18.0,845555362
6,31,9.0,845553819
6,41,15.0,845554962
6,43,2.0,845555607
6,61,4.0,845555454
6,62,13.0,845553660
6,79,9.0,845554907
6,89,11.0,845555124
6,100,1.0,845555151
6,177,10.0,845554931
6,195,6.0,845554455
6,204,3.0,845553619
6,209,13.0,845556106
6,217,11.0,845555382
6,219,14.0,845556131
6,224,11.0,845553794
6,230,10.0,845553966
6,240,17.0,845555571
6,251,10.0,845556257
6,254,8.0,845555655
6,261,12.0,845553695
6,271,7.0,845555249
6,277,3.0,845553844
6,279,19.0,845555436
6,281,5.0,845554320
6,282,18.0,845553522
6,291,12.0,845555571
6,293,5.0,845553660
6,336,8.0,845556223
6,337,17.0,845553586
6,349,9.0,845553146
6,351,7.0,845554455
6,354,17.0,845555402
6,358,12.0,845555265
6,359,12.0,845556412
6,361,19.0,845554376
6,412,12.0,845554505
6,454,17.0,845553283
6,457,2.0,845553174
6,474,8.0,845553522
6,475,15.0,845554099
6,490,2.0,845554584
6,491,17.0,845554141
6,493,8.0,845555172
6,508,16.0,845553586
6,510,2.0,845555546
6,524,5.0,845554479
6,527,16.0,845553426
6,536,16.0,845556181
6,537,8.0,845554551
6,539,12.0,845553426
6,540,19.0,845554099
6,542,5.0,845554524
6,640,5.0,845555362
6,662,12.0,845556147
6,667,1.0,845555342
6,694,2.0,845555694
6,762,5.0,845555006
6,795,2.0,845556506
6,835,11.0,845556194
6,838,11.0,845555514
6,839,19.0,845556120
6,848,2.0,845556340
6,852,7.0,845555694
6,867,11.0,845556412
6,891,4.0,845556241
6,979,1.0,845556808
6,981,7.0,845556567
6,991,14.0,845556808
6,996,1.0,845556323
6,1004,12.0,845556506
6,1006,5.0,845556694
6,1061,2.0,845556860
6,1082,18.0,845556278
7,58,8.0,1106635520
7,1246,3.0,1106635678
7,1784,19.0,1106635416
7,1954,17.0,1106635657
7,2353,13.0,1106635625
7,3408,11.0,1106712549
7,3916,10.0,1106636596
7,4223,1.0,1106635742
7,4246,5.0,1110855253
7,8798,9.0,1106636602
7,8949,5.0,1110757890
7,8958,14.0,1110173697
7,8970,3.0,1106636069
7,30812,19.0,1113353083
7,32029,11.0,1118025946
7,38388,7.0,1149548381
7,48783,14.0,1162163488
8,11,1.0,839463806
8,282,18.0,839463767
8,454,6.0,839463546
8,457,2.0,839463489
8,527,9.0,839463728
8,539,7.0,839463728
9,41,8.0,1044656650
9,1095,8.0,1044657088
9,1987,1.0,1044656716
9,3173,15.0,1044656650
9,5447,13.0,1044656836
9,5451,2.0,1044656836
9,5891,19.0,1044657318
9,5902,9.0,1044656934
9,5962,3.0,1044657338
9,5988,5.0,1044657269
9,6044,6.0,1044657285
10,1247,2.0,1455303518
10,1784,19.0,1455301699
10,2959,5.0,1455356582
10,4246,5.0,1455302676
10,5377,12.0,1455301898
10,6266,1.0,1455303070
10,6942,3.0,1455301621
10,8529,12.0,1455398107
10,8969,15.0,1455302697
10,8970,5.0,1455398160
10,30749,16.0,1455398096
10,33145,2.0,1455398153
10,47099,7.0,1455401876
10,56367,12.0,1455301825
10,58047,5.0,1455302791
10,60950,8.0,1455301965
10,66203,4.0,1455357596
10,70183,15.0,1455357636
10,70293,8.0,1455398141
10,72330,4.0,1455399573
10,72720,8.0,1455301822
